STATION,NAME,DATE,AWND,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jan-10,6.9,0,0,10,5,6,30,17,0,0,-13,1.17,49,4123,1371,2.24,20.8,28,13.5,300,310,33.1,44
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Feb-10,7.6,0,0,16,6,1,28,20,0,0,-1,1.05,40,5260,1137,2.39,24.4,30.2,18.6,290,280,29.1,37
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Mar-10,7.2,0,0,7,7,0,19,0,0,0,9,0.73,63,6001,741,2.37,38.6,48.3,28.8,100,110,33.1,78
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Apr-10,7.2,3,3,14,2,0,8,0,6,0,27,0.85,85,6473,472,1.56,49.4,62.3,36.4,310,310,35.1,43
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",May-10,6,65,62,16,9,0,3,0,19,1,28,0.86,90,6702,229,3.08,59.6,72.5,46.8,280,120,40.9,84
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jun-10,6.3,141,76,16,10,0,0,0,23,0,45,1.33,87,6777,75,6.93,65,74.7,55.4,300,360,25.9,48
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jul-10,5.4,359,218,7,3,0,0,0,29,4,47,1.5,94,12,12,2.71,71.9,82.9,60.9,330,330,33.1,44
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Aug-10,4.7,511,152,12,4,0,0,0,30,0,48,3.05,87,28,16,3.86,69.4,79.1,59.7,290,320,25.9,41
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Sep-10,6.3,573,62,19,6,0,0,0,13,3,40,3.38,91,194,166,5.37,61.5,71.1,51.9,280,250,25.9,38
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Oct-10,6.3,573,0,22,13,0,8,0,3,0,28,0.58,73,715,521,4.69,48.2,58.3,38.1,290,280,29.1,38
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Nov-10,6.7,573,0,18,8,0,20,0,0,0,17,0.92,66,1518,802,4.33,38.3,47.5,29,280,290,30,40
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Dec-10,8.1,573,0,10,3,0,31,24,0,0,2,1.34,56,2799,1281,1.91,23.7,29.4,17.9,200,150,32,40
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jan-11,6.3,0,0,9,6,6,30,28,0,0,-21,0.24,51,4249,1450,1.15,18.2,25.6,10.8,280,270,23.9,31
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Feb-11,7.4,0,0,11,5,6,27,16,0,0,-14,1.43,55,5490,1241,3.56,20.7,31.2,10.1,280,250,36.9,51
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Mar-11,8.5,0,0,18,8,1,27,6,0,0,-5,0.74,57,6568,1078,2.96,30.2,38.9,21.6,280,150,33.1,131
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Apr-11,8.9,8,8,18,12,0,12,0,4,0,23,0.86,82,7153,585,7.12,45.8,56.1,35.4,120,120,36.9,47
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",May-11,6.3,59,51,20,11,0,1,0,17,0,31,3.17,88,7350,197,9.72,60.3,70.2,50.4,280,220,29.1,36
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jun-11,6,144,85,12,8,0,0,0,23,1,42,1.2,92,7407,57,4.99,65.9,76.4,55.5,310,90,30,109
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jul-11,4.9,376,232,7,5,0,0,0,31,6,50,0.61,99,0,0,1.52,72.5,84.5,60.4,340,260,29.1,39
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Aug-11,4.9,523,147,15,7,0,0,0,30,0,48,1.54,88,16,15,3.87,69.2,79.9,58.5,280,330,25.9,35
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Sep-11,5.1,598,74,19,11,0,0,0,20,0,35,2.97,86,124,108,7.69,63.9,73.1,54.6,250,250,30,37
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Oct-11,5.4,598,0,16,9,0,6,0,5,0,24,0.73,77,574,449,3.3,50.5,59.5,41.5,230,250,28,39
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Nov-11,5.6,598,0,14,9,0,15,0,1,0,20,0.99,70,1190,616,4.11,43.8,54.2,33.4,310,310,29.1,36
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Dec-11,6.3,598,0,20,7,0,24,3,0,0,8,0.59,54,2182,993,2.66,33,40.9,25.1,280,270,35.1,49
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jan-12,8.5,0,0,18,7,4,27,12,0,0,-15,0.97,50,3354,1172,3.16,27.2,36,18.4,150,150,148.1,163
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Feb-12,6.7,0,0,15,4,0,26,4,0,0,6,0.38,50,4374,1020,1.27,28.6,37.1,20,290,280,35.1,43
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Mar-12,7.4,0,0,13,8,0,15,2,6,0,8,0.77,80,5022,648,2.32,44.1,54.8,33.4,280,290,31.1,41
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Apr-12,8.1,7,7,13,5,0,17,0,3,0,22,0.64,88,5650,627,2.22,44.3,56,32.6,300,300,36.9,49
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",May-12,6,58,51,16,12,0,0,0,22,0,34,1.84,88,5796,146,5.32,62,73.5,50.4,300,310,25.9,34
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jun-12,6.3,159,101,13,10,0,0,0,23,2,44,0.9,92,5872,76,3.5,65.8,77,54.6,320,310,29.1,34
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Jul-12,5.1,411,251,2,0,0,0,0,31,6,52,0.05,97,0,0,0.09,73.1,85.3,60.9,320,270,30,36
USW00064775,"ROME GRIFFISS AIRFIELD, NY US",Aug-12,4.9,581,170,10,5,0,0,0,31,2,46,0.86,94,18,18,2.76,69.9,81.6,58.2,300,310,25.1,33
