date,ADPT,ASLP,ASTP,AWBT,AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYNT,DYSD,DYSN,DYTS,DYXP,DYXT,EMNT,EMSD,EMSN
2010-01-01,-7.69,1014.7,1013.8,-2.39,13.4,0,0,7,2,0,0,0,0,25,9,0,0,8,1,20100130,20100108,20100128,,,,,,
2010-02-01,-6.25,1008.2,1007.4,-1.75,14.1,0,0,11,7,3,17,5,0,23,1,0,0,11,3,20100207,20100226,20100210,,,,,,
2010-03-01,0.17,1011.6,1010.7,4.96,13.6,0,0,13,9,4,2,0,0,2,0,1,0,11,1,20100327,20100301,20100305,,,,,,
2010-04-01,3.18,1012.9,1012,8.35,11,4,4,8,4,1,0,0,0,0,0,7,0,10,2,20100428,20100430,20100430,,,,,,
2010-05-01,9.37,1016,1015,13.12,10.3,71,67,7,3,0,0,0,0,0,0,22,1,10,2,20100510,20100531,20100531,,,,,,
2010-06-01,15.21,1012.5,1011.6,18.42,10.3,361,290,7,2,0,0,0,0,0,0,29,8,11,2,20100609,20100630,20100630,,,,,,
2010-07-01,17.65,1014.2,1013.3,20.93,9.8,849,488,6,4,0,0,0,0,0,0,31,13,8,,20100702,20100731,20100731,6,,,,,
2010-08-01,16.82,1015.4,1014.5,19.74,9.4,1197,348,7,5,1,0,0,0,0,0,31,8,4,,20100828,20100831,20100831,2,,,,,
2010-09-01,13.72,1014.8,1014,16.93,11.4,1370,173,8,8,1,0,0,0,0,0,29,2,10,,20100921,20100930,20100930,5,,,,,
2010-10-01,6.72,1012.2,1011.3,10.81,12.1,1371,1,11,5,1,0,0,0,0,0,8,0,9,2,20101031,20101031,20101031,,,,,,
2010-11-01,0.57,1018.9,1017.9,5.34,11.9,1371,0,9,3,0,0,0,0,1,0,0,0,6,,20101129,20101130,20101125,1,,,,,
2010-12-01,-7.38,1011.4,1010.4,-1.95,15,1371,0,5,4,1,5,2,0,26,6,0,0,4,2,20101214,20101227,20101226,,,,,,
2011-01-01,-7.96,1015.1,1014.1,-3.38,11,0,0,12,7,1,20,5,0,28,10,0,0,11,4,20110124,20110127,20110126,,,,,,
2011-02-01,-6.79,1016.1,1015.3,-1,13.6,0,0,10,8,1,14,1,0,22,2,0,0,9,1,20110209,20110201,20110221,,,,,,
2011-03-01,-3.69,1020.2,1019.4,2.03,13.9,0,0,9,7,1,2,0,0,12,0,1,0,10,,20110303,20110324,20110323,1,,,,,
2011-04-01,4.66,1014.1,1013.2,8.07,12.5,0,0,12,7,1,0,0,0,0,0,3,0,10,7,20110401,20110430,20110401,,,,,,
2011-05-01,11.56,1015.1,1014.2,14.01,9.8,56,56,9,5,1,0,0,0,0,0,16,0,16,5,20110506,20110531,20110531,,,,,,
2011-06-01,14.83,1012.9,1012.1,17.83,9.4,274,218,9,4,0,0,0,0,0,0,28,1,14,2,20110615,20110630,20110630,,,,,,
2011-07-01,18.08,1013,1012.2,21.04,9.2,733,459,8,5,1,0,0,0,0,0,31,10,8,1,20110701,20110731,20110731,,,,,,
2011-08-01,17.18,1011.6,1010.7,19.83,9.8,1058,324,12,10,4,0,0,0,0,0,31,2,11,,20110829,20110831,20110831,7,,,,,
2011-09-01,16.28,1016.9,1016.1,18.07,8.7,1222,164,10,6,2,0,0,0,0,0,25,0,14,4,20110916,20110930,20110930,,,,,,
2011-10-01,6.96,1015.6,1014.7,10.68,11,1240,18,10,5,2,1,1,0,1,0,7,0,1,1,20111031,20111030,20111029,,,,,,
2011-11-01,4.53,1019.6,1018.7,7.85,10.3,1240,0,7,5,1,0,0,0,0,0,0,0,7,1,20111106,20111130,20111130,,,,,,
2011-12-01,-1.01,1021.5,1020.5,3.47,10.7,1240,0,8,6,0,0,0,0,12,1,0,0,5,1,20111219,20111231,20111231,,,,,,
2012-01-01,-5.11,1016.9,1016,0.26,13.4,0,0,8,7,0,2,1,0,16,3,0,0,5,1,20120104,20120122,20120121,,,,,,
2012-02-01,-4.14,1017.5,1016.6,1.43,12.1,0,0,10,4,0,0,0,0,12,0,0,0,6,,20120212,20120211,20120211,,20120229,,,,
2012-03-01,1.12,1019.6,1018.7,5.83,11.4,0,0,11,5,0,0,0,0,4,0,2,0,7,6,20120306,20120331,20120331,,,,,,
2012-04-01,0.18,1012.3,1011.5,7.12,12.8,5,5,6,5,1,0,0,0,0,0,4,0,6,1,20120406,20120430,20120430,,,,,,
2012-05-01,12.08,1016.6,1015.7,14.57,8.7,67,61,17,11,2,0,0,0,0,0,17,0,9,5,20120512,20120531,20120531,,,,,,
2012-06-01,14.63,1013.8,1013,17.44,10.1,261,194,12,8,3,0,0,0,0,0,26,5,5,,20120605,20120630,20120630,6,,,,,
2012-07-01,18.15,1013.9,1013,20.83,9.2,676,415,8,4,0,0,0,0,0,0,31,8,1,,20120721,20120731,20120731,6,,,,,
2012-08-01,18.53,1015.7,1014.8,20.82,8.7,1040,364,8,7,1,0,0,0,0,0,31,2,5,1,20120830,20120831,20120831,,,,,,
2012-09-01,14.26,1017.1,1016.2,16.94,10.3,1179,139,10,7,1,0,0,0,0,0,28,1,6,,20120924,20120930,20120930,2,,,,,
2012-10-01,9.48,1014.5,1013.7,12.27,11,1196,16,12,7,0,0,0,0,0,0,9,0,10,4,20121013,20121031,20121031,,,,,,
2012-11-01,-0.58,1021.4,1020.4,3.59,11.2,1196,0,6,2,0,2,1,0,3,0,0,0,6,1,20121106,20121108,20121107,,,,,,
2012-12-01,0.16,1016.3,1015.4,3.47,11.9,1196,0,16,11,0,0,0,0,12,0,0,0,13,3,20121231,20121231,20121229,,,,,,
2013-01-01,-5.33,1020.7,1019.6,-0.43,12.1,0,0,12,5,0,1,0,0,19,5,0,0,4,4,20130123,20130126,20130125,,,,,,
2013-02-01,-5.83,1015.7,1014.9,-1.07,13.2,0,0,12,7,0,5,2,0,22,5,0,0,9,1,20130210,20130209,20130209,,,,,,
2013-03-01,-4.06,1013.6,1012.8,1.13,13.9,0,0,8,6,0,2,2,0,15,0,0,0,5,,20130318,20130309,20130308,,20130312,,,,
2013-04-01,1.42,1020.7,1019.8,6.47,12.3,0,0,7,3,0,0,0,0,1,0,3,0,2,,20130404,20130430,20130430,,20130412,,,,
2013-05-01,9.26,1018.4,1017.6,12.18,10.5,24,24,11,6,1,0,0,0,0,0,14,0,5,,20130514,20130531,20130531,,20130508,,,,
2013-06-01,15.67,1013.5,1012.6,17.89,11,196,173,15,10,2,0,0,0,0,0,27,2,6,,20130614,20130630,20130630,,20130607,,,,
2013-07-01,19.93,1017,1016.1,22.02,9.8,645,449,10,4,0,0,0,0,0,0,31,7,4,,20130725,20130731,20130731,2,,,,,
2013-08-01,16.45,1017,1016.1,19.08,9.6,936,291,8,4,0,0,0,0,0,0,31,0,8,,20130815,20130831,20130831,,20130813,,,,
2013-09-01,12.04,1016.9,1016,15.31,9.8,1048,111,7,3,1,0,0,0,0,0,27,0,3,,20130924,20130930,20130930,,20130922,,,,
2013-10-01,,,,,10.5,1084,36,4,1,0,0,0,0,0,0,10,0,2,,20131025,20131031,20131031,,20131007,20131002,39,0,0
