date,prcp,tavg,awnd,tmin,tmax,ASLP,ASTP,CLDD,DP1X,DYHF,DYTS,YEAR,MONTH
2010-01-01,42.5,0.08,6.0,-3.53,3.68,1014.7,1013.8,0,0,1.0,0.0,2010,1
2010-02-01,152.9,0.6,6.3,-2.12,3.31,1008.2,1007.4,0,3,3.0,0.0,2010,2
2010-03-01,219.2,8.37,6.1,4.15,12.59,1011.6,1010.7,0,4,1.0,0.0,2010,3
2010-04-01,85.9,13.0,4.9,8.1,17.9,1012.9,1012.0,4,1,2.0,0.0,2010,4
2010-05-01,50.4,17.7,4.6,12.61,22.78,1016.0,1015.0,67,0,2.0,0.0,2010,5
2010-06-01,34.5,23.61,4.6,18.65,28.57,1012.5,1011.6,290,0,2.0,0.0,2010,6
2010-07-01,62.0,27.07,4.4,22.49,31.65,1014.2,1013.3,488,0,0.0,6.0,2010,7
2010-08-01,79.3,24.57,4.2,20.29,28.85,1015.4,1014.5,348,1,0.0,2.0,2010,8
2010-09-01,111.3,21.36,5.1,17.13,25.59,1014.8,1014.0,173,1,0.0,5.0,2010,9
2010-10-01,112.4,14.71,5.4,10.55,18.86,1012.2,1011.3,1,1,2.0,0.0,2010,10
2010-11-01,49.5,8.8,5.3,5.08,12.52,1018.9,1017.9,0,0,0.0,1.0,2010,11
2010-12-01,79.4,0.58,6.7,-2.61,3.76,1011.4,1010.4,0,1,2.0,0.0,2010,12
2011-01-01,90.4,-1.62,4.9,-4.79,1.55,1015.1,1014.1,0,1,4.0,0.0,2011,1
2011-02-01,81.1,1.6,6.1,-4.79,6.17,1016.1,1015.3,0,1,1.0,0.0,2011,2
2011-03-01,115.7,5.64,6.2,1.37,9.91,1020.2,1019.4,0,1,0.0,1.0,2011,3
2011-04-01,109.3,11.11,5.6,6.95,15.27,1014.1,1013.2,0,1,7.0,0.0,2011,4
2011-05-01,80.2,17.17,4.4,13.13,21.2,1015.1,1014.2,56,1,5.0,0.0,2011,5
2011-06-01,53.2,22.29,4.2,17.82,26.76,1012.9,1012.1,218,0,2.0,0.0,2011,6
2011-07-01,68.7,26.56,4.1,21.69,31.44,1013.0,1012.2,459,1,1.0,0.0,2011,7
2011-08-01,437.9,24.15,4.4,20.27,28.03,1011.6,1010.7,324,4,0.0,7.0,2011,8
2011-09-01,107.1,20.99,3.9,17.6,24.38,1016.9,1016.1,164,2,4.0,0.0,2011,9
2011-10-01,111.9,14.45,4.9,10.29,18.61,1015.6,1014.7,18,2,1.0,0.0,2011,10
2011-11-01,82.4,10.46,4.6,6.31,14.61,1019.6,1018.7,0,1,1.0,0.0,2011,11
2011-12-01,79.3,5.82,4.8,1.72,9.93,1021.5,1020.5,0,0,1.0,0.0,2011,12
2012-01-01,55.6,2.87,6.0,-1.27,7.01,1016.9,1016.0,0,0,1.0,0.0,2012,1
2012-02-01,32.0,4.64,5.4,0.69,8.59,1017.5,1016.6,0,0,0.0,0.0,2012,2
2012-03-01,28.7,9.16,5.1,5.04,13.28,1019.6,1018.7,0,0,6.0,0.0,2012,3
2012-04-01,75.4,12.27,5.7,7.31,17.24,1012.3,1011.5,5,1,1.0,0.0,2012,4
2012-05-01,180.1,17.76,3.9,14.13,21.39,1016.6,1015.7,61,2,5.0,0.0,2012,5
2012-06-01,174.7,21.57,4.5,17.14,26.0,1013.8,1013.0,194,3,0.0,6.0,2012,6
2012-07-01,39.1,25.77,4.1,21.54,30.0,1013.9,1013.0,415,0,0.0,6.0,2012,7
2012-08-01,102.3,24.86,3.9,20.85,28.87,1015.7,1014.8,364,1,1.0,0.0,2012,8
2012-09-01,103.0,20.64,4.6,16.76,24.53,1017.1,1016.2,139,1,0.0,2.0,2012,9
2012-10-01,56.6,15.06,4.9,11.58,18.54,1014.5,1013.7,16,0,4.0,0.0,2012,10
2012-11-01,39.6,6.44,5.0,2.81,10.07,1021.4,1020.4,0,0,1.0,0.0,2012,11
2012-12-01,125.4,5.41,5.3,2.17,8.64,1016.3,1015.4,0,0,3.0,0.0,2012,12
2013-01-01,60.8,1.7,5.4,-1.86,5.25,1020.7,1019.6,0,0,4.0,0.0,2013,1
2013-02-01,69.5,1.11,5.9,-2.27,4.48,1015.7,1014.9,0,0,1.0,0.0,2013,2
2013-03-01,59.0,4.44,6.2,0.79,8.1,1013.6,1012.8,0,0,0.0,0.0,2013,3
2013-04-01,45.4,10.36,5.5,5.76,14.96,1020.7,1019.8,0,0,0.0,0.0,2013,4
2013-05-01,102.5,15.49,4.7,11.02,19.96,1018.4,1017.6,24,1,0.0,0.0,2013,5
2013-06-01,202.1,21.34,4.9,17.3,25.37,1013.5,1012.6,173,2,0.0,0.0,2013,6
2013-07-01,57.6,26.38,4.4,22.46,30.29,1017.0,1016.1,449,0,0.0,2.0,2013,7
2013-08-01,69.4,23.55,4.3,19.72,27.38,1017.0,1016.1,291,0,0.0,0.0,2013,8
2013-09-01,48.9,19.48,4.4,14.55,24.41,1016.9,1016.0,111,1,0.0,0.0,2013,9
2013-10-01,8.5,15.54,4.7,11.38,19.69,0.0,0.0,36,0,0.0,0.0,2013,10
2013-11-01,64.6,7.39,5.7,3.13,11.65,1021.9,1020.9,0,1,0.0,0.0,2013,11
2013-12-01,114.4,3.4,4.9,-0.15,6.94,1019.9,1018.9,0,1,0.0,0.0,2013,12
2014-01-01,76.5,-1.84,5.8,-5.97,2.29,1017.4,1016.3,0,0,0.0,0.0,2014,1
2014-02-01,116.7,-0.44,5.1,-3.88,3.01,1017.9,1016.9,0,3,0.0,0.0,2014,2
2014-03-01,108.2,3.0,6.0,-1.69,7.69,1016.6,1015.8,0,1,0.0,0.0,2014,3
2014-04-01,177.3,10.03,5.9,5.31,14.74,1017.8,1016.9,0,1,0.0,0.0,2014,4
2014-05-01,91.6,16.97,4.7,12.57,21.37,1016.4,1015.4,30,1,0.0,0.0,2014,5
2014-06-01,66.3,22.02,4.2,17.68,26.35,1015.9,1015.1,199,0,0.0,0.0,2014,6
2014-07-01,122.9,24.15,4.8,17.68,26.35,1015.1,1014.2,324,2,0.0,4.0,2014,7
2014-08-01,107.5,23.37,3.9,19.15,27.58,1016.7,1015.9,281,1,0.0,0.0,2014,8
2014-09-01,36.3,20.95,4.0,16.78,25.11,1019.4,1018.6,162,0,0.0,1.0,2014,9
2014-10-01,93.8,15.46,5.4,16.78,19.16,1013.8,1012.9,21,1,0.0,1.0,2014,10
2014-11-01,113.8,7.26,5.5,3.5,11.02,1017.4,1016.4,0,3,2.0,0.0,2014,11
2014-12-01,178.9,5.25,5.3,2.34,8.17,1020.1,1019.1,0,3,2.0,0.0,2014,12
2015-01-01,135.0,-0.68,6.1,-4.31,2.95,1019.9,1019.0,0,1,2.0,0.0,2015,1
2015-02-01,59.9,-4.08,5.9,-8.54,0.38,0.0,0.0,0,1,1.0,0.0,2015,2
2015-03-01,123.9,3.24,5.3,-0.93,7.41,1019.4,1018.8,0,1,3.0,0.0,2015,3
2015-04-01,40.9,11.44,5.6,-0.93,7.41,1015.7,1014.8,0,0,4.0,0.0,2015,4
2015-05-01,11.7,17.91,4.4,13.12,22.71,1020.6,1019.7,58,0,8.0,0.0,2015,5
2015-06-01,126.7,21.8,4.6,17.74,25.85,1015.1,1014.3,218,2,0.0,2.0,2015,6
2015-07-01,58.7,25.77,4.2,21.97,29.58,1013.2,1012.3,415,0,1.0,0.0,2015,7
2015-08-01,92.3,25.84,4.3,21.49,30.18,1015.5,1014.6,419,2,0.0,3.0,2015,8
2015-09-01,92.3,22.78,4.1,18.32,27.23,1018.6,1017.8,241,1,1.0,0.0,2015,9
2015-10-01,106.7,14.33,5.2,10.14,18.53,1019.4,1018.5,6,2,0.0,1.0,2015,10
2015-11-01,30.5,11.42,4.5,7.19,15.64,1022.7,1021.8,4,0,2.0,0.0,2015,11
2015-12-01,121.7,10.17,4.4,6.77,13.58,1019.6,1018.7,0,2,9.0,0.0,2015,12
2016-01-01,116.7,1.47,5.8,-2.37,5.3,1016.1,1015.2,0,2,2.0,0.0,2016,1
2016-02-01,102.9,3.14,6.1,-1.03,7.3,1016.7,1015.8,0,1,4.0,0.0,2016,2
2016-03-01,35.4,8.61,5.4,4.25,12.97,1017.2,1016.4,0,0,0.0,1.0,2016,3
2016-04-01,31.4,10.58,5.4,5.91,15.24,1017.2,1016.3,0,0,1.0,0.0,2016,4
2016-05-01,94.4,15.7,4.3,11.56,19.85,1015.3,1014.4,49,1,2.0,0.0,2016,5
2016-06-01,41.0,22.15,4.8,17.55,26.75,1013.8,1012.9,210,0,3.0,0.0,2016,6
2016-07-01,153.9,25.87,4.7,21.89,29.84,1014.6,1013.7,420,1,0.0,7.0,2016,7
2016-08-01,16.0,26.07,4.4,22.49,29.64,1017.4,1016.6,431,0,0.0,4.0,2016,8
2016-09-01,73.0,26.07,4.7,17.91,25.52,1019.2,1018.3,198,0,1.0,0.0,2016,9
2016-10-01,84.6,14.96,4.7,10.59,19.33,1019.7,1018.8,18,0,2.0,0.0,2016,10
2016-11-01,88.5,10.34,5.4,6.33,14.34,1017.7,1016.8,0,2,1.0,0.0,2016,11
2016-12-01,77.7,4.22,5.8,0.85,7.6,1020.1,1019.1,0,0,4.0,0.0,2016,12
2017-02-01,40.1,4.66,5.5,0.54,8.78,1014.5,1013.6,0,0,4.0,0.0,2017,2
2017-03-01,147.3,4.09,6.6,-0.12,8.3,1020.2,1019.4,0,2,2.0,0.0,2017,3
2017-04-01,103.5,12.82,5.0,8.59,17.05,1016.8,1015.9,11,1,4.0,0.0,2017,4
2017-05-01,148.2,15.83,5.2,11.98,19.68,1012.7,1011.8,36,3,3.0,0.0,2017,5
2017-06-01,106.7,21.62,4.8,17.29,25.95,1013.8,1012.9,198,2,3.0,0.0,2017,6
2017-07-01,118.3,24.69,4.3,20.71,28.66,1014.9,1014.1,354,1,0.0,3.0,2017,7
2017-08-01,63.6,23.68,4.2,19.65,27.71,1017.0,1016.2,298,0,0.0,7.0,2017,8
2017-09-01,55.9,21.41,4.7,17.14,25.68,1016.7,1015.8,179,0,3.0,0.0,2017,9
2017-10-01,106.9,17.32,5.1,13.0,21.65,1019.5,1018.7,63,1,0.0,2.0,2017,10
2017-11-01,45.9,7.83,5.2,3.46,12.21,1020.1,1019.2,0,0,3.0,0.0,2017,11
