"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-01","8.1","0","0","10","3","13","30","24","0","0","-18","1.05","48","4079","1542","1.85","15.3","26.0","4.5","290","290","36.0","46"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-02","7.6","0","0","13","5","19","28","27","0","0","-21","0.35","33","5687","1608","1.52","7.6","19.8","-4.6","300","270","29.1","39"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-03","8.3","0","0","16","5","3","31","12","0","0","-12","0.44","47","6956","1269","1.50","24.1","33.9","14.2","290","290","36.0","46"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-04","8.5","0","0","16","10","0","14","0","5","0","16","0.60","79","7605","648","2.95","43.4","54.8","31.9","320","90","36.0","48"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-05","6.5","70","70","10","7","0","2","0","23","0","30","1.17","88","7783","178","4.12","61.5","75.0","48.1","290","270","30.0","40"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-06","6.7","125","55","18","9","0","0","0","25","0","40","1.30","85","7856","74","4.17","64.4","74.4","54.4","290","270","31.1","80"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-07","5.4","256","131","11","8","0","0","0","31","1","45","0.57","90","15","15","2.41","68.7","80.2","57.3","300","270","21.0","28"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-08","5.6","378","123","9","4","0","0","0","31","1","50","0.87","90","27","11","1.88","68.6","80.1","57.0","240","140","28.0","38"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-09","4.9","484","105","7","7","0","0","0","26","2","41","1.91","90","100","73","4.36","66.1","77.8","54.4","310","310","35.1","45"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-10","6.5","484","0","15","7","0","9","0","2","0","25","1.46","76","643","543","4.68","47.5","57.5","37.5","280","120","30.0","41"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-11","7.2","484","0","11","6","0","17","0","3","0","22","0.21","73","1267","624","1.13","44.2","54.2","34.2","260","240","30.0","46"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2015-12","6.9","484","0","18","11","0","17","1","0","0","22","1.11","68","2053","785","5.52","39.7","46.2","33.1","120","110","32.0","41"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-01","8.3","0","0","14","3","5","29","15","0","0","-8","0.55","52","3338","1285","1.44","23.5","32.3","14.8","280","280","36.0","46"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-02","8.3","0","0","14","6","5","27","11","0","0","-28","1.53","61","4477","1138","4.52","25.7","36.0","15.5","290","240","35.1","45"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-03","7.8","0","0","15","10","0","21","2","1","0","7","0.95","75","5316","839","2.97","37.9","49.2","26.6","290","280","35.1","46"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-04","7.2","0","0","10","6","0","15","1","3","0","5","0.84","74","5944","628","2.69","40.8","52.3","29.4","290","290","36.0","46"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-05","6.5","45","45","10","7","0","2","0","15","1","29","1.00","91","6229","284","3.07","57.3","69.7","44.8","290","300","32.0","39"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-06","6.5","108","63","13","6","0","0","0","25","0","39","1.62","89","6313","85","3.69","64.3","76.4","52.1","310","300","33.1","45"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-07","5.6","295","187","13","9","0","0","0","31","1","50","1.80","90","2","2","4.43","71.0","82.2","59.8","280","280","25.9","38"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-08","5.4","516","221","14","8","0","0","0","31","2","49","1.68","91","8","6","5.50","71.9","82.5","61.3","290","240","25.1","36"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-09","4.9","583","66","9","6","0","0","0","23","0","35","1.27","88","115","107","2.78","63.6","75.9","51.3","300","270","25.9","36"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-10","7.2","590","7","18","13","0","5","0","7","0","28","1.87","82","555","439","5.72","51.0","59.8","42.3","290","290","30.0","39"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-11","6.7","590","0","17","7","0","19","3","0","0","22","0.77","66","1306","752","2.35","39.9","49.1","30.8","280","300","29.1","38"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2016-12","8.5","590","0","21","13","3","29","10","0","0","-12","0.81","50","2478","1171","4.05","27.2","34.4","20.1","310","280","31.1","40"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-01","8.1","0","0","17","9","3","24","11","0","0","-5","0.85","51","3641","1163","4.28","27.5","34.6","20.4","280","300","30.0","42"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-02","9.2","0","0","15","7","0","24","11","0","0","6","0.91","69","4593","952","3.10","31.0","39.7","22.3","300","300","32.0","41"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-03","9.8","0","0","11","8","1","25","11","0","0","-2","0.90","65","5759","1166","3.42","27.4","36.6","18.2","290","10","38.0","49"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-04","8.3","2","2","18","10","0","9","0","8","0","24","1.60","82","6225","466","5.04","49.5","60.1","38.9","290","300","31.1","41"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-05","7.8","16","13","19","11","0","3","0","10","0","30","0.87","89","6544","319","5.38","55.1","65.4","44.9","280","260","36.0","49"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-06","6.5","91","75","15","9","0","0","0","23","2","40","0.43","91","6636","91","3.20","64.5","75.3","53.6","290","280","36.0","64"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-07","4.9","220","129","14","9","0","0","0","30","0","48","1.46","85","3","3","5.36","69.1","78.8","59.3","110","360","23.9","30"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-08","5.1","327","107","10","4","0","0","0","30","0","44","0.80","88","51","47","2.03","66.9","78.6","55.2","180","170","33.1","43"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-09","4.0","402","75","10","6","0","0","0","19","0","37","0.97","89","184","133","2.69","63.0","74.7","51.4","330","330","23.9","29"
"USW00064775","ROME GRIFFISS AIRFIELD, NY US","2017-10","6.3","411","9","13","8","0","1","0","15","0","29","1.91","81","480","296","5.50","55.7","67.0","44.5","270","280","32.0","43"
