Station,Station_name,Elevation(meters),Latitude,Longitude,min_date,max_date
COOP:010008,"ABBEVILLE, AL US",139.0,31.5702,-85.2482,1948-01-01,2014-01-01
COOP:010063,"ADDISON, AL US",239.6,34.21096,-87.17838,1938-01-01,2015-11-01
COOP:010071,"ADDISON CENTRAL TOWER, AL US",302.1,34.41667,-87.31667,1940-05-01,1962-03-01
COOP:010116,"ALABASTER SHELBY CO AIRPORT ASOS, AL US",172.5,33.17835,-86.78178,1995-04-01,2015-11-01
COOP:010117,"BELLE MINA 2 N, AL US",183.8,34.6891,-86.8819,1949-01-01,1949-12-01
COOP:010125,"ALAGA, AL US",34.1,31.13333,-85.06667,1935-05-01,1936-11-01
COOP:010140,"ALBERTA, AL US",53.3,32.2322,-87.4104,1940-11-01,2014-12-01
COOP:010148,"ALBERTVILLE, AL US",348.1,34.23333,-86.16667,1931-01-01,1977-06-01
COOP:010160,"ALEXANDER CITY, AL US",201.2,32.935,-85.95556,1969-10-01,2015-11-01
COOP:010163,"ALEXANDER CITY 6 NE, AL US",200.9,32.98333,-85.86667,1942-11-01,1969-10-01
COOP:010178,"ALICEVILLE, AL US",59.4,33.1272,-88.155,1940-01-01,2015-11-01
COOP:010184,"BEVILL LOCK AND DAM, AL US",50.3,33.21,-88.2878,1980-05-01,2015-11-01
COOP:010252,"ANDALUSIA 3 W, AL US",76.2,31.3071,-86.5226,1938-01-01,2015-11-01
COOP:010260,"LEXINGTON, AL US",231.6,34.96285,-87.37195,2004-07-01,2015-11-01
COOP:010267,"ANNISTON, AL US",220.1,33.66667,-85.83333,1948-01-01,1949-03-01
COOP:010272,"ANNISTON METROPOLITAN AIRPORT, AL US",181.8,33.59043,-85.84788,1948-01-01,2015-11-01
COOP:010338,"ARLEY 1 S, AL US",227.1,34.06667,-87.23333,1938-01-01,1983-10-01
COOP:010369,"ASHLAND, AL US",311.5,33.2941,-85.7788,1948-01-01,2013-11-01
COOP:010377,"ASHVILLE, AL US",180.1,33.85,-86.33333,1941-06-01,1973-06-01
COOP:010390,"ATHENS, AL US",210.0,34.7752,-86.9508,1948-01-01,2015-11-01
COOP:010395,"ATHENS 2, AL US",219.5,34.8,-86.98333,1955-10-01,1991-07-01
COOP:010398,"ATHENS COURTHOUSE, AL US",220.1,34.8,-86.96667,1958-05-01,1958-06-01
COOP:010402,"ATMORE, AL US",91.4,31.182,-87.439,1940-01-01,2015-11-01
COOP:010407,"ATMORE, AL US",67.1,31.01667,-87.51667,1965-01-01,1982-10-01
COOP:010422,"AUBURN, AL US",223.1,32.6,-85.5,1931-01-01,1970-12-01
