Station,Data_Type,Date,Value
GHCND:USW00094789,ADPT,2012-01-01T00:00:00,-5.11
GHCND:USW00094789,ASLP,2012-01-01T00:00:00,1016.9
GHCND:USW00094789,ASTP,2012-01-01T00:00:00,1016
GHCND:USW00094789,AWBT,2012-01-01T00:00:00,0.26
GHCND:USW00094789,AWND,2012-01-01T00:00:00,13.4
GHCND:USW00094789,CDSD,2012-01-01T00:00:00,0
GHCND:USW00094789,CLDD,2012-01-01T00:00:00,0
GHCND:USW00094789,DP01,2012-01-01T00:00:00,8
GHCND:USW00094789,DP10,2012-01-01T00:00:00,7
GHCND:USW00094789,DP1X,2012-01-01T00:00:00,0
GHCND:USW00094789,DSND,2012-01-01T00:00:00,2
GHCND:USW00094789,DSNW,2012-01-01T00:00:00,1
GHCND:USW00094789,DT00,2012-01-01T00:00:00,0
GHCND:USW00094789,DT32,2012-01-01T00:00:00,16
GHCND:USW00094789,DX32,2012-01-01T00:00:00,3
GHCND:USW00094789,DX70,2012-01-01T00:00:00,0
GHCND:USW00094789,DX90,2012-01-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-01-01T00:00:00,5
GHCND:USW00094789,DYHF,2012-01-01T00:00:00,1
GHCND:USW00094789,DYNT,2012-01-01T00:00:00,20120104
GHCND:USW00094789,DYSD,2012-01-01T00:00:00,20120122
GHCND:USW00094789,DYSN,2012-01-01T00:00:00,20120121
GHCND:USW00094789,ADPT,2012-02-01T00:00:00,-4.14
GHCND:USW00094789,ASLP,2012-02-01T00:00:00,1017.5
GHCND:USW00094789,ASTP,2012-02-01T00:00:00,1016.6
GHCND:USW00094789,AWBT,2012-02-01T00:00:00,1.43
GHCND:USW00094789,AWND,2012-02-01T00:00:00,12.1
GHCND:USW00094789,CDSD,2012-02-01T00:00:00,0
GHCND:USW00094789,CLDD,2012-02-01T00:00:00,0
GHCND:USW00094789,DP01,2012-02-01T00:00:00,10
GHCND:USW00094789,DP10,2012-02-01T00:00:00,4
GHCND:USW00094789,DP1X,2012-02-01T00:00:00,0
GHCND:USW00094789,DSND,2012-02-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-02-01T00:00:00,0
GHCND:USW00094789,DT00,2012-02-01T00:00:00,0
GHCND:USW00094789,DT32,2012-02-01T00:00:00,12
GHCND:USW00094789,DX32,2012-02-01T00:00:00,0
GHCND:USW00094789,DX70,2012-02-01T00:00:00,0
GHCND:USW00094789,DX90,2012-02-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-02-01T00:00:00,6
GHCND:USW00094789,DYNT,2012-02-01T00:00:00,20120212
GHCND:USW00094789,DYSD,2012-02-01T00:00:00,20120211
GHCND:USW00094789,DYSN,2012-02-01T00:00:00,20120211
GHCND:USW00094789,DYXP,2012-02-01T00:00:00,20120229
GHCND:USW00094789,ADPT,2012-03-01T00:00:00,1.12
GHCND:USW00094789,ASLP,2012-03-01T00:00:00,1019.6
GHCND:USW00094789,ASTP,2012-03-01T00:00:00,1018.7
GHCND:USW00094789,AWBT,2012-03-01T00:00:00,5.83
GHCND:USW00094789,AWND,2012-03-01T00:00:00,11.4
GHCND:USW00094789,CDSD,2012-03-01T00:00:00,0
GHCND:USW00094789,CLDD,2012-03-01T00:00:00,0
GHCND:USW00094789,DP01,2012-03-01T00:00:00,11
GHCND:USW00094789,DP10,2012-03-01T00:00:00,5
GHCND:USW00094789,DP1X,2012-03-01T00:00:00,0
GHCND:USW00094789,DSND,2012-03-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-03-01T00:00:00,0
GHCND:USW00094789,DT00,2012-03-01T00:00:00,0
GHCND:USW00094789,DT32,2012-03-01T00:00:00,4
GHCND:USW00094789,DX32,2012-03-01T00:00:00,0
GHCND:USW00094789,DX70,2012-03-01T00:00:00,2
GHCND:USW00094789,DX90,2012-03-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-03-01T00:00:00,7
GHCND:USW00094789,DYHF,2012-03-01T00:00:00,6
GHCND:USW00094789,DYNT,2012-03-01T00:00:00,20120306
GHCND:USW00094789,DYSD,2012-03-01T00:00:00,20120331
GHCND:USW00094789,DYSN,2012-03-01T00:00:00,20120331
GHCND:USW00094789,ADPT,2012-04-01T00:00:00,0.18
GHCND:USW00094789,ASLP,2012-04-01T00:00:00,1012.3
GHCND:USW00094789,ASTP,2012-04-01T00:00:00,1011.5
GHCND:USW00094789,AWBT,2012-04-01T00:00:00,7.12
GHCND:USW00094789,AWND,2012-04-01T00:00:00,12.8
GHCND:USW00094789,CDSD,2012-04-01T00:00:00,5
GHCND:USW00094789,CLDD,2012-04-01T00:00:00,5
GHCND:USW00094789,DP01,2012-04-01T00:00:00,6
GHCND:USW00094789,DP10,2012-04-01T00:00:00,5
GHCND:USW00094789,DP1X,2012-04-01T00:00:00,1
GHCND:USW00094789,DSND,2012-04-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-04-01T00:00:00,0
GHCND:USW00094789,DT00,2012-04-01T00:00:00,0
GHCND:USW00094789,DT32,2012-04-01T00:00:00,0
GHCND:USW00094789,DX32,2012-04-01T00:00:00,0
GHCND:USW00094789,DX70,2012-04-01T00:00:00,4
GHCND:USW00094789,DX90,2012-04-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-04-01T00:00:00,6
GHCND:USW00094789,DYHF,2012-04-01T00:00:00,1
GHCND:USW00094789,DYNT,2012-04-01T00:00:00,20120406
GHCND:USW00094789,DYSD,2012-04-01T00:00:00,20120430
GHCND:USW00094789,DYSN,2012-04-01T00:00:00,20120430
GHCND:USW00094789,ADPT,2012-05-01T00:00:00,12.08
GHCND:USW00094789,ASLP,2012-05-01T00:00:00,1016.6
GHCND:USW00094789,ASTP,2012-05-01T00:00:00,1015.7
GHCND:USW00094789,AWBT,2012-05-01T00:00:00,14.57
GHCND:USW00094789,AWND,2012-05-01T00:00:00,8.7
GHCND:USW00094789,CDSD,2012-05-01T00:00:00,67
GHCND:USW00094789,CLDD,2012-05-01T00:00:00,61
GHCND:USW00094789,DP01,2012-05-01T00:00:00,17
GHCND:USW00094789,DP10,2012-05-01T00:00:00,11
GHCND:USW00094789,DP1X,2012-05-01T00:00:00,2
GHCND:USW00094789,DSND,2012-05-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-05-01T00:00:00,0
GHCND:USW00094789,DT00,2012-05-01T00:00:00,0
GHCND:USW00094789,DT32,2012-05-01T00:00:00,0
GHCND:USW00094789,DX32,2012-05-01T00:00:00,0
GHCND:USW00094789,DX70,2012-05-01T00:00:00,17
GHCND:USW00094789,DX90,2012-05-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-05-01T00:00:00,9
GHCND:USW00094789,DYHF,2012-05-01T00:00:00,5
GHCND:USW00094789,DYNT,2012-05-01T00:00:00,20120512
GHCND:USW00094789,DYSD,2012-05-01T00:00:00,20120531
GHCND:USW00094789,DYSN,2012-05-01T00:00:00,20120531
GHCND:USW00094789,ADPT,2012-06-01T00:00:00,14.63
GHCND:USW00094789,ASLP,2012-06-01T00:00:00,1013.8
GHCND:USW00094789,ASTP,2012-06-01T00:00:00,1013
GHCND:USW00094789,AWBT,2012-06-01T00:00:00,17.44
GHCND:USW00094789,AWND,2012-06-01T00:00:00,10.1
GHCND:USW00094789,CDSD,2012-06-01T00:00:00,261
GHCND:USW00094789,CLDD,2012-06-01T00:00:00,194
GHCND:USW00094789,DP01,2012-06-01T00:00:00,12
GHCND:USW00094789,DP10,2012-06-01T00:00:00,8
GHCND:USW00094789,DP1X,2012-06-01T00:00:00,3
GHCND:USW00094789,DSND,2012-06-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-06-01T00:00:00,0
GHCND:USW00094789,DT00,2012-06-01T00:00:00,0
GHCND:USW00094789,DT32,2012-06-01T00:00:00,0
GHCND:USW00094789,DX32,2012-06-01T00:00:00,0
GHCND:USW00094789,DX70,2012-06-01T00:00:00,26
GHCND:USW00094789,DX90,2012-06-01T00:00:00,5
GHCND:USW00094789,DYFG,2012-06-01T00:00:00,5
GHCND:USW00094789,DYNT,2012-06-01T00:00:00,20120605
GHCND:USW00094789,DYSD,2012-06-01T00:00:00,20120630
GHCND:USW00094789,DYSN,2012-06-01T00:00:00,20120630
GHCND:USW00094789,DYTS,2012-06-01T00:00:00,6
GHCND:USW00094789,ADPT,2012-07-01T00:00:00,18.15
GHCND:USW00094789,ASLP,2012-07-01T00:00:00,1013.9
GHCND:USW00094789,ASTP,2012-07-01T00:00:00,1013
GHCND:USW00094789,AWBT,2012-07-01T00:00:00,20.83
GHCND:USW00094789,AWND,2012-07-01T00:00:00,9.2
GHCND:USW00094789,CDSD,2012-07-01T00:00:00,676
GHCND:USW00094789,CLDD,2012-07-01T00:00:00,415
GHCND:USW00094789,DP01,2012-07-01T00:00:00,8
GHCND:USW00094789,DP10,2012-07-01T00:00:00,4
GHCND:USW00094789,DP1X,2012-07-01T00:00:00,0
GHCND:USW00094789,DSND,2012-07-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-07-01T00:00:00,0
GHCND:USW00094789,DT00,2012-07-01T00:00:00,0
GHCND:USW00094789,DT32,2012-07-01T00:00:00,0
GHCND:USW00094789,DX32,2012-07-01T00:00:00,0
GHCND:USW00094789,DX70,2012-07-01T00:00:00,31
GHCND:USW00094789,DX90,2012-07-01T00:00:00,8
GHCND:USW00094789,DYFG,2012-07-01T00:00:00,1
GHCND:USW00094789,DYNT,2012-07-01T00:00:00,20120721
GHCND:USW00094789,DYSD,2012-07-01T00:00:00,20120731
GHCND:USW00094789,DYSN,2012-07-01T00:00:00,20120731
GHCND:USW00094789,DYTS,2012-07-01T00:00:00,6
GHCND:USW00094789,ADPT,2012-08-01T00:00:00,18.53
GHCND:USW00094789,ASLP,2012-08-01T00:00:00,1015.7
GHCND:USW00094789,ASTP,2012-08-01T00:00:00,1014.8
GHCND:USW00094789,AWBT,2012-08-01T00:00:00,20.82
GHCND:USW00094789,AWND,2012-08-01T00:00:00,8.7
GHCND:USW00094789,CDSD,2012-08-01T00:00:00,1040
GHCND:USW00094789,CLDD,2012-08-01T00:00:00,364
GHCND:USW00094789,DP01,2012-08-01T00:00:00,8
GHCND:USW00094789,DP10,2012-08-01T00:00:00,7
GHCND:USW00094789,DP1X,2012-08-01T00:00:00,1
GHCND:USW00094789,DSND,2012-08-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-08-01T00:00:00,0
GHCND:USW00094789,DT00,2012-08-01T00:00:00,0
GHCND:USW00094789,DT32,2012-08-01T00:00:00,0
GHCND:USW00094789,DX32,2012-08-01T00:00:00,0
GHCND:USW00094789,DX70,2012-08-01T00:00:00,31
GHCND:USW00094789,DX90,2012-08-01T00:00:00,2
GHCND:USW00094789,DYFG,2012-08-01T00:00:00,5
GHCND:USW00094789,DYHF,2012-08-01T00:00:00,1
GHCND:USW00094789,DYNT,2012-08-01T00:00:00,20120830
GHCND:USW00094789,DYSD,2012-08-01T00:00:00,20120831
GHCND:USW00094789,DYSN,2012-08-01T00:00:00,20120831
GHCND:USW00094789,ADPT,2012-09-01T00:00:00,14.26
GHCND:USW00094789,ASLP,2012-09-01T00:00:00,1017.1
GHCND:USW00094789,ASTP,2012-09-01T00:00:00,1016.2
GHCND:USW00094789,AWBT,2012-09-01T00:00:00,16.94
GHCND:USW00094789,AWND,2012-09-01T00:00:00,10.3
GHCND:USW00094789,CDSD,2012-09-01T00:00:00,1179
GHCND:USW00094789,CLDD,2012-09-01T00:00:00,139
GHCND:USW00094789,DP01,2012-09-01T00:00:00,10
GHCND:USW00094789,DP10,2012-09-01T00:00:00,7
GHCND:USW00094789,DP1X,2012-09-01T00:00:00,1
GHCND:USW00094789,DSND,2012-09-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-09-01T00:00:00,0
GHCND:USW00094789,DT00,2012-09-01T00:00:00,0
GHCND:USW00094789,DT32,2012-09-01T00:00:00,0
GHCND:USW00094789,DX32,2012-09-01T00:00:00,0
GHCND:USW00094789,DX70,2012-09-01T00:00:00,28
GHCND:USW00094789,DX90,2012-09-01T00:00:00,1
GHCND:USW00094789,DYFG,2012-09-01T00:00:00,6
GHCND:USW00094789,DYNT,2012-09-01T00:00:00,20120924
GHCND:USW00094789,DYSD,2012-09-01T00:00:00,20120930
GHCND:USW00094789,DYSN,2012-09-01T00:00:00,20120930
GHCND:USW00094789,DYTS,2012-09-01T00:00:00,2
GHCND:USW00094789,ADPT,2012-10-01T00:00:00,9.48
GHCND:USW00094789,ASLP,2012-10-01T00:00:00,1014.5
GHCND:USW00094789,ASTP,2012-10-01T00:00:00,1013.7
GHCND:USW00094789,AWBT,2012-10-01T00:00:00,12.27
GHCND:USW00094789,AWND,2012-10-01T00:00:00,11
GHCND:USW00094789,CDSD,2012-10-01T00:00:00,1196
GHCND:USW00094789,CLDD,2012-10-01T00:00:00,16
GHCND:USW00094789,DP01,2012-10-01T00:00:00,12
GHCND:USW00094789,DP10,2012-10-01T00:00:00,7
GHCND:USW00094789,DP1X,2012-10-01T00:00:00,0
GHCND:USW00094789,DSND,2012-10-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-10-01T00:00:00,0
GHCND:USW00094789,DT00,2012-10-01T00:00:00,0
GHCND:USW00094789,DT32,2012-10-01T00:00:00,0
GHCND:USW00094789,DX32,2012-10-01T00:00:00,0
GHCND:USW00094789,DX70,2012-10-01T00:00:00,9
GHCND:USW00094789,DX90,2012-10-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-10-01T00:00:00,10
GHCND:USW00094789,DYHF,2012-10-01T00:00:00,4
GHCND:USW00094789,DYNT,2012-10-01T00:00:00,20121013
GHCND:USW00094789,DYSD,2012-10-01T00:00:00,20121031
GHCND:USW00094789,DYSN,2012-10-01T00:00:00,20121031
GHCND:USW00094789,ADPT,2012-11-01T00:00:00,-0.58
GHCND:USW00094789,ASLP,2012-11-01T00:00:00,1021.4
GHCND:USW00094789,ASTP,2012-11-01T00:00:00,1020.4
GHCND:USW00094789,AWBT,2012-11-01T00:00:00,3.59
GHCND:USW00094789,AWND,2012-11-01T00:00:00,11.2
GHCND:USW00094789,CDSD,2012-11-01T00:00:00,1196
GHCND:USW00094789,CLDD,2012-11-01T00:00:00,0
GHCND:USW00094789,DP01,2012-11-01T00:00:00,6
GHCND:USW00094789,DP10,2012-11-01T00:00:00,2
GHCND:USW00094789,DP1X,2012-11-01T00:00:00,0
GHCND:USW00094789,DSND,2012-11-01T00:00:00,2
GHCND:USW00094789,DSNW,2012-11-01T00:00:00,1
GHCND:USW00094789,DT00,2012-11-01T00:00:00,0
GHCND:USW00094789,DT32,2012-11-01T00:00:00,3
GHCND:USW00094789,DX32,2012-11-01T00:00:00,0
GHCND:USW00094789,DX70,2012-11-01T00:00:00,0
GHCND:USW00094789,DX90,2012-11-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-11-01T00:00:00,6
GHCND:USW00094789,DYHF,2012-11-01T00:00:00,1
GHCND:USW00094789,DYNT,2012-11-01T00:00:00,20121106
GHCND:USW00094789,DYSD,2012-11-01T00:00:00,20121108
GHCND:USW00094789,DYSN,2012-11-01T00:00:00,20121107
GHCND:USW00094789,ADPT,2012-12-01T00:00:00,0.16
GHCND:USW00094789,ASLP,2012-12-01T00:00:00,1016.3
GHCND:USW00094789,ASTP,2012-12-01T00:00:00,1015.4
GHCND:USW00094789,AWBT,2012-12-01T00:00:00,3.47
GHCND:USW00094789,AWND,2012-12-01T00:00:00,11.9
GHCND:USW00094789,CDSD,2012-12-01T00:00:00,1196
GHCND:USW00094789,CLDD,2012-12-01T00:00:00,0
GHCND:USW00094789,DP01,2012-12-01T00:00:00,16
GHCND:USW00094789,DP10,2012-12-01T00:00:00,11
GHCND:USW00094789,DP1X,2012-12-01T00:00:00,0
GHCND:USW00094789,DSND,2012-12-01T00:00:00,0
GHCND:USW00094789,DSNW,2012-12-01T00:00:00,0
GHCND:USW00094789,DT00,2012-12-01T00:00:00,0
GHCND:USW00094789,DT32,2012-12-01T00:00:00,12
GHCND:USW00094789,DX32,2012-12-01T00:00:00,0
GHCND:USW00094789,DX70,2012-12-01T00:00:00,0
GHCND:USW00094789,DX90,2012-12-01T00:00:00,0
GHCND:USW00094789,DYFG,2012-12-01T00:00:00,13
GHCND:USW00094789,DYHF,2012-12-01T00:00:00,3
GHCND:USW00094789,DYNT,2012-12-01T00:00:00,20121231
GHCND:USW00094789,DYSD,2012-12-01T00:00:00,20121231
GHCND:USW00094789,DYSN,2012-12-01T00:00:00,20121229
GHCND:USW00094789,ADPT,2013-01-01T00:00:00,-5.33
GHCND:USW00094789,ASLP,2013-01-01T00:00:00,1020.7
GHCND:USW00094789,ASTP,2013-01-01T00:00:00,1019.6
GHCND:USW00094789,AWBT,2013-01-01T00:00:00,-0.43
GHCND:USW00094789,AWND,2013-01-01T00:00:00,12.1
GHCND:USW00094789,CDSD,2013-01-01T00:00:00,0
GHCND:USW00094789,CLDD,2013-01-01T00:00:00,0
GHCND:USW00094789,DP01,2013-01-01T00:00:00,12
GHCND:USW00094789,DP10,2013-01-01T00:00:00,5
GHCND:USW00094789,DP1X,2013-01-01T00:00:00,0
GHCND:USW00094789,DSND,2013-01-01T00:00:00,1
GHCND:USW00094789,DSNW,2013-01-01T00:00:00,0
